Variety,Counts,Red?
Chardonnay,13775,FALSE
Pinot Noir,13625,TRUE
Cabernet Sauvignon,12671,TRUE
Red Blend,9377,TRUE
Sauvignon Blanc,6054,FALSE
Syrah,5667,TRUE
Riesling,5212,FALSE
Merlot,4987,TRUE
Bordeaux-style Red Blend,4545,TRUE
Zinfandel,3794,TRUE
Malbec,3085,TRUE
Sangiovese,2879,TRUE
White Blend,2554,FALSE
Tempranillo,2525,TRUE
Rosé,2461,TRUE
Shiraz,1945,TRUE
Sparkling Blend,1820,TRUE
Portuguese Red,1812,TRUE
Nebbiolo,1529,TRUE
Rhône-style Red Blend,1455,TRUE
Cabernet Franc,1310,TRUE
"Corvina, Rondinella, Molinara",1292,TRUE
Pinot Gris,1275,FALSE
Pinot Grigio,1270,FALSE
Viognier,1255,FALSE
Champagne Blend,1003,FALSE
Barbera,967,TRUE
Sangiovese Grosso,938,TRUE
Petite Sirah,897,TRUE
Gewürztraminer,891,TRUE
Grüner Veltliner,842,TRUE
Port,791,TRUE
Carmenère,746,TRUE
Tempranillo Blend,734,TRUE
Portuguese White,716,FALSE
Chenin Blanc,639,FALSE
Grenache,596,TRUE
Bordeaux-style White Blend,580,FALSE
Albariño,530,TRUE
Prosecco,515,FALSE
Glera,479,FALSE
Pinot Blanc,413,FALSE
Rhône-style White Blend,407,FALSE
Garnacha,397,TRUE
Moscato,389,FALSE
Nero d'Avola,375,TRUE
Torrontés,363,TRUE
Dolcetto,332,TRUE
Meritage,317,TRUE
Verdejo,315,FALSE
Garganega,307,FALSE
Cabernet Blend,301,TRUE
Gamay,299,TRUE
Montepulciano,272,TRUE
Aglianico,259,TRUE
Sauvignon,239,FALSE
Cabernet Sauvignon-Merlot,233,TRUE
Primitivo,224,TRUE
Tinta de Toro,221,TRUE
Sémillon,214,FALSE
Zweigelt,200,TRUE
Petit Verdot,199,TRUE
Pinotage,195,TRUE
Blaufränkisch,191,TRUE
Vermentino,190,FALSE
Roussanne,182,FALSE
Mourvèdre,172,TRUE
Muscat,161,FALSE
Touriga Nacional,155,TRUE
Bonarda,152,TRUE
Cabernet Sauvignon-Syrah,151,TRUE
G-S-M,151,TRUE
Monastrell,148,TRUE
Mencía,146,TRUE
Friulano,136,TRUE
Fiano,131,TRUE
Tannat,128,TRUE
Marsanne,122,FALSE
Agiorgitiko,117,TRUE
Pinot Bianco,115,FALSE
Pinot Nero,113,TRUE
Grillo,111,TRUE
Viura,110,FALSE
Fumé Blanc,106,FALSE
Godello,102,FALSE
Sherry,101,FALSE
Shiraz-Cabernet Sauvignon,95,TRUE
Shiraz-Viognier,91,TRUE
Prugnolo Gentile,90,TRUE
St. Laurent,89,TRUE
Greco,86,FALSE
Tempranillo-Cabernet Sauvignon,85,TRUE
Cabernet Sauvignon-Shiraz,84,TRUE
Malbec-Merlot,83,TRUE
Semillon-Sauvignon Blanc,83,FALSE
Sagrantino,82,TRUE
Tinto del Pais,81,TRUE
Melon,79,FALSE
Cortese,76,FALSE
Tinto Fino,75,TRUE
Carignan,74,TRUE
Grenache Blanc,73,FALSE
Tokaji,72,FALSE
Falanghina,72,FALSE
Merlot-Cabernet Sauvignon,72,TRUE
Negroamaro,72,TRUE
Petite Verdot,71,TRUE
Nerello Mascalese,71,TRUE
Chardonnay-Viognier,68,FALSE
Assyrtico,67,TRUE
Vernaccia,65,FALSE
Grenache-Syrah,64,TRUE
Turbiana,63,FALSE
Sauvignon Blanc-Semillon,63,FALSE
Arneis,63,FALSE
Alvarinho,63,FALSE
Verdelho,62,FALSE
Tempranillo-Garnacha,60,TRUE
Xinomavro,59,TRUE
Cabernet Sauvignon-Carmenère,58,TRUE
Malbec-Cabernet Sauvignon,58,TRUE
Carignano,58,TRUE
Ribolla Gialla,57,FALSE
Muscat Canelli,55,FALSE
Austrian Red Blend,55,TRUE
Syrah-Cabernet,54,TRUE
Cabernet Sauvignon-Malbec,54,TRUE
Arinto,54,FALSE
Spätburgunder,54,TRUE
