designation,designation_label
Cuvée des 6 Cépages,6615
Santa Cristina,21432
Gregory Ranch,10587
Terre di Dora,23873
Canoe Ridge Estate,3813
Topaz Impérial Rosé,24801
Extra Dry Rosè,8853
Five by Five,9300
LEHM Estate,12759
Sheridan Vineyard,22137
Foglio 38,9415
John Speke Single Vineyard,12098
The Bull and the Bear,24046
Villa Festa Vineyard,26080
Dry Land,7661
Wildlake Ranch,26946
Sarah's Hill,21484
Fitzpatrick Vineyard,9283
Parej,17842
Condé,5579
Poggio alla Badiola,18630
Josie's Knoll Reserve,12137
Garbiella Ranch,9834
Tradition Rosé,24915
Jewell Ranch Vineyard Estate Grown,12057
Preuses Grand Cru,18924
Goldie's Vineyard,10143
Caractère,3899
Domaine de la Créa Les Cent Vignes Premier Cru,7381
Australian Sparkling,1582
Primitivo Rosato,18962
PdM Moncayo,18008
Le Chêne Marchand,13571
Estate Sinistra,8683
No 11,16871
Lillie Vineyard,14462
Baby Poux Vineyard Reserve,1724
Agnus,516
Brut Perlé,3283
Rubrica Branco,20970
Les Vignots,14367
Vigna di Mandranova,25943
60/40 Barrel Select,278
Isabel Mondavi,11862
Blend Malbec-Cabernet Sauvignon-Merlot,2656
Graacher Himmelreich Eiswein Vat 28,10198
Estate Select Monte Regalo Red,8678
Cuvée des Enchanteleurs Brut,6628
Companhia das Lezírias Tyto Alba Vinhas Protegidas,5516
Quinta do Outeiro Tinto,19395
Poggio Maestrino Annosesto,18604
Derbyshire Vineyard,7013
Geyserville Estate,9957
Les Tonnelles,14327
Ampakama,1008
Eté Indien,8759
Duas Quintas Branco,7699
Trine,25072
Terre di San Zeno,23886
Jackknife Corner,11949
Bourbon Barrel Aged Batch No 13,2970
Legus,13868
Steierische Klassik,22961
Reserva Privada Cordillera Shiraz-Cabernet Sauvignon-Viognier,19943
Grand Vin,10443
Musque Clone Lafond Vineyard,16550
Hope's Cuvee,11355
Gladysdale Vineyard,10053
Goldensong,10139
Warrior Fires,26684
Terroir d'Alsace,23923
Caton Vineyard Syrah,4239
Rocky Top Vineyard,20581
Património,17971
Auberge Road,1543
Les Clauses,14043
Cuvée Carolle,6278
Esprit Blanc de Tablas,8452
Altitude Series +720 Kosher,849
Lena di Mezzo,13885
Tullum,25190
Frank Potts Red Wine,9590
Lot #8,14732
Versa,25748
Estate Vineyard Old Vines,8698
Duas Quintas Reserva,7700
Encounter Bay,8252
N 41° W 72°,16609
Southing,22712
Kappa,12283
Damiana,6826
Colheita Branco,5388
Duet,7726
Bliss Demi Sec,2676
Negraró,16722
D'Or Matur,6744
Dry Stack Vineyard,7675
Twin Rivers Vineyard Roberto's Block,25238
Fronteira,9674
Valley Oaks White,25573
Cuvée de la Platière,6612
Gran Resrva de Los Andes,10308
Trois Châteaux 'E',25122
Sandro,21373
Ayler  Kupp Spätlese,1658
Alba Chiara Passito 500ml,579
Teresa's Unoaked Estate,23731
3 Girls,174
Barrel Selection Reserve,1943
Ñeque,27542
Idyll Times Vineyard,11546
Dry,7650
Demoiselle Brut,6995
Montiggl,16285
McDuffee Vineyard Reserve,15610
Massaccio,15483
The Bombadier,24036
Enkircher Batterieberg Kabinett,8273
Seduce,21767
Fleur de Montagne,9339
Checkmate,4569
Seascape,21725
Gran Tradición Rosé Brut,10318
Bernier Zinyard,2248
Porquenó Reserva Lo Mejor,18712
Saphir,21473
Pedrouzos 1.5L,18027
