,country,description,designation,points,price,province,region_1,region_2,variety,winery,Red?,Wine_Bins
0,France,"A big, powerful wine that sums up the richness of the vintage. It is densely fruity, spicy with an enormous black plum and berry fruit character to go with the acidity. It's concentrated while still showing such wonderfully pure fruit. The aging potential is immense.",*Unknown Wine*,99,2300.0,Bordeaux,Pauillac,Pauillac,Bordeaux-style Red Blend,Château Latour,True,Iconic: Over $50
1,US,"The nose on this single-vineyard wine from a strong, often overlooked appellation is tight and minerally before showing a slightly tropical kiwi element. Brightly acidic on the lively palate, flavors range from Key lime and Meyer lemon to pear skins and apple flesh.",Roger Rose Vineyard,91,2013.0,California,Arroyo Seco,Central Coast,Chardonnay,Blair,False,Iconic: Over $50
2,France,"A massive wine for Margaux, packed with tannins and ripe fruit. It has more Cabernet Sauvignon than usual, giving intense black currant flavors with enticing acidity balanced by the sweetness of the fruit. Ripe swathes of this opulent fruit are also elegant and structured.",*Unknown Wine*,98,1900.0,Bordeaux,Margaux,Margaux,Bordeaux-style Red Blend,Château Margaux,True,Iconic: Over $50
3,France,"A wine that has created its own universe. It has a unique, special softness that allies with the total purity that comes from a small, enclosed single vineyard. The fruit is almost irrelevant here, because it comes as part of a much deeper complexity. This is a great wine, at the summit of Champagne, a sublime, unforgettable experience.",Clos du Mesnil,100,1400.0,Champagne,Champagne,Champagne,Chardonnay,Krug,False,Iconic: Over $50
4,France,"The purest Cabernet Sauvignon fruit, with dark chocolate and intense dark berry flavors. The tannins are so enveloped by the fruit and yet they promise great aging. At this stage, wood shows through the fruit, but the texture is so rich and opulent that it should easily become integrated.",*Unknown Wine*,96,1300.0,Bordeaux,Pauillac,Pauillac,Bordeaux-style Red Blend,Château Mouton Rothschild,True,Iconic: Over $50
5,France,"Solid, very structured, packed with dense and dry tannins. There is a core of acidity and darkness that gives the wine a brooding, powerful character. At this stage, it seems austere although it does have the weight of fruit typical of the year.",*Unknown Wine*,96,1200.0,Bordeaux,Pessac-Léognan,Pessac-Léognan,Bordeaux-style Red Blend,Château Haut-Brion,True,Iconic: Over $50
6,France,"Such a generous and ripe wine, with a dark core of tannins surrounded by opulent fruit. Black fruits, coffee, very concentrated flavors, a powerhouse of structure and richness. The warmth of the wine is palpable, as is the aging potential.",*Unknown Wine*,97,1100.0,Bordeaux,Pessac-Léognan,Pessac-Léognan,Bordeaux-style Red Blend,Château La Mission Haut-Brion,True,Iconic: Over $50
7,Austria,"Wet earth, rain-wet stones, damp moss, wild sage and very ripe pear make for a complex opening. Further sniffs reveal more citrus: both juice and zest of lemon. The palate still holds a lot of leesy yeast flavors but its phenolic richness is tempered by total citrus freshness. This is still tightly wound; leave it so it can come into its own. The warming resonance on the palate suggests it has a long future. Drink from 2019.",Ried Loibenberg Smaragd,94,1100.0,Wachau,Wachau,Wachau,Grüner Veltliner,Emmerich Knoll,True,Iconic: Over $50
8,France,"This is the first vintage of a wine that used to be called Laville Haut-Brion. It is ripe and opulent with exotic fruits and generosity, very open, very rich. Pineapple, yellow fruits and toast are all present.",*Unknown Wine*,94,1000.0,Bordeaux,Pessac-Léognan,Pessac-Léognan,Bordeaux-style White Blend,Château La Mission Haut-Brion,False,Iconic: Over $50
9,Portugal,"This was a great vintage Port year, and this white Port, which was bottled in 2015, has hints of the firm tannins and structure that marked out the year. It also has preserved an amazing amount of freshness still suggesting orange marmalade flavors. These are backed up by the fine, concentrated old wood tastes. The wine is, of course, ready to drink.",Colheita White,94,980.0,Port,Port,Port,Port,Kopke,True,Iconic: Over $50
