variety,variety_label
Agiorgitiko,0
Aglianico,1
Albariño,2
Alicante Bouschet,3
Aligoté,4
Alsace white blend,5
Alvarinho,6
Arinto,7
Arneis,8
Assyrtico,9
Austrian Red Blend,10
Austrian white blend,11
Barbera,12
Blaufränkisch,13
Bonarda,14
Bordeaux-style Red Blend,15
Bordeaux-style White Blend,16
Cabernet Blend,17
Cabernet Franc,18
Cabernet Merlot,19
Cabernet Sauvignon,20
Cabernet Sauvignon-Cabernet Franc,21
Cabernet Sauvignon-Carmenère,22
Cabernet Sauvignon-Malbec,23
Cabernet Sauvignon-Merlot,24
Cabernet Sauvignon-Shiraz,25
Cabernet Sauvignon-Syrah,26
Cannonau,27
Carignan,28
Carignano,29
Carmenère,30
Castelão,31
Champagne Blend,32
Charbono,33
Chardonnay,34
Chardonnay-Viognier,35
Chenin Blanc,36
Chenin Blanc-Chardonnay,37
Claret,38
Cortese,39
"Corvina, Rondinella, Molinara",40
Dolcetto,41
Falanghina,42
Fiano,43
Frappato,44
Friulano,45
Fumé Blanc,46
Furmint,47
G-S-M,48
Gamay,49
Garganega,50
Garnacha,51
Gewürztraminer,52
Glera,53
Godello,54
Graciano,55
Greco,56
Grenache,57
Grenache Blanc,58
Grenache-Syrah,59
Grillo,60
Grüner Veltliner,61
Insolia,62
Lagrein,63
Lambrusco,64
Lemberger,65
Loureiro,66
Malbec,67
Malbec-Cabernet Sauvignon,68
Malbec-Merlot,69
Malvasia,70
Marsanne,71
Marsanne-Roussanne,72
Melon,73
Mencía,74
Meritage,75
Merlot,76
Merlot-Cabernet Sauvignon,77
Monastrell,78
Montepulciano,79
Moscatel,80
Moscato,81
Moschofilero,82
Mourvèdre,83
Muscat,84
Muscat Canelli,85
Nebbiolo,86
Negroamaro,87
Nerello Mascalese,88
Nero d'Avola,89
Orange Muscat,90
Pecorino,91
Pedro Ximénez,92
Petit Manseng,93
Petit Verdot,94
Petite Sirah,95
Petite Verdot,96
Pinot Bianco,97
Pinot Blanc,98
Pinot Grigio,99
Pinot Gris,100
Pinot Nero,101
Pinot Noir,102
Pinotage,103
Port,104
Portuguese Red,105
Portuguese Sparkling,106
Portuguese White,107
Primitivo,108
Prosecco,109
Prugnolo Gentile,110
Red Blend,111
Rhône-style Red Blend,112
Rhône-style White Blend,113
Ribolla Gialla,114
Riesling,115
Roditis,116
Rosé,117
Roussanne,118
Sagrantino,119
Sangiovese,120
Sangiovese Grosso,121
Sauvignon,122
Sauvignon Blanc,123
Sauvignon Blanc-Semillon,124
Semillon-Sauvignon Blanc,125
Sherry,126
Shiraz,127
Shiraz-Cabernet Sauvignon,128
Shiraz-Grenache,129
Shiraz-Viognier,130
Silvaner,131
Sparkling Blend,132
Spätburgunder,133
St. Laurent,134
Sylvaner,135
Syrah,136
Syrah-Cabernet,137
Syrah-Grenache,138
Sémillon,139
Tannat,140
Tempranillo,141
Tempranillo Blend,142
Tempranillo-Cabernet Sauvignon,143
Tempranillo-Garnacha,144
Tinta de Toro,145
Tinto Fino,146
Tinto del Pais,147
Tocai Friulano,148
Tokaji,149
Torrontés,150
Touriga Nacional,151
Traminer,152
Trebbiano,153
Turbiana,154
Verdejo,155
Verdelho,156
Verdicchio,157
Vermentino,158
Vernaccia,159
Vidal Blanc,160
Viognier,161
Viura,162
Weissburgunder,163
White Blend,164
White Riesling,165
Xinomavro,166
Zibibbo,167
Zinfandel,168
Zweigelt,169
